SAMPLE	gene
PD8501a	1
PD8504a	2
PD8506a	3
PD8508a	2
PD8510a	1
PD8512a	2
PD8513a	1
PD8514a	3
PD8531a	2
PD8532a	1
PD8533a	2
PD8534a	2
PD8535a	1
PD8536a	3
PD8537a	2
PD8538a	5
PD8539a	4
PD8540a	3
PD8541a	2
PD8542a	1
PD8543a	2
PD8544a	6
PD8546a	3
PD8547a	3
PD8548a	2
PD8549a	2
PD8550a	4
PD8551a	3
PD8552a	1
PD8553a	3
PD8554a	3
PD8555a	1
PD8557a	4
PD8558a	3
PD8559a	3
PD8562a	2
PD8567a	3
PD8568a	4
PD8570a	4
PD8571a	4
PD8572a	2
PD8573a	2
PD8574a	2
PD8576a	1
PD8577a	2
PD8578a	3
PD8579a	1
PD8580a	5
PD8581a	1
PD8582a	3
PD8583a	5
PD8584a	1
PD8585a	2
PD8586a	1
PD8587a	2
PD8588a	3
PD8589a	1
PD8590a	2
PD9197a	5
PD9198a	2
PD9199a	1
PD9201a	2
PD9202a	2
PD9204a	1
PD9205a	4
PD9206a	3
PD9208a	2
PD9209a	2
PD9210a	2
PD9211a	1
PD9213a	1
PD9214a	3
PD9215a	4
PD9216a	2
PD9217a	1
PD9218a	3
PD9220a	4
PD9221a	3
PD9222a	1
PD9223a	4
PD9224a	3
PD9226a	3
PD9227a	3
PD9228a	3
PD9229a	2
PD9230a	3
PD9232a	5
PD9233a	1
PD9234a	3
PD9235a	2
PD9236a	2
PD9237a	2
PD9239a	5
PD9240a	4
PD9241a	3
PD9243a	2
PD9245a	1
PD9246a	3
PD9247a	4
PD9248a	3
PD9249a	4
PD9250a	1
PD9251a	3
PD9252a	3
PD9253a	6
PD9254a	2
PD9255a	4
PD9256a	1
PD9257a	1
PD9258a	1
PD9259a	1
PD9260a	1
PD9262a	2
PD9265a	4
PD9266a	1
PD9267a	2
PD9268a	6
PD9269a	1
PD9270a	2
PD9271a	2
PD9272a	2
PD9273a	4
PD9274a	1
PD9275a	1
PD9276a	1
PD9277a	2
PD9278a	6
PD9279a	2
PD9282a	5
PD9283a	2
PD9284a	2
PD9285a	4
PD9286a	1
PD9287a	2
PD9291a	1
PD9292a	3
PD9294a	2
PD9296a	4
PD9297a	3
PD9298a	1
PD9299a	2
PD9300a	2
PD9301a	3
PD9302a	3
PD9306a	1
PD9307a	4
PD9308a	6
PD9309a	1
PD9310a	4
PD9311a	2
PD9312a	4
PD9313a	2
PD9314a	2
PD9316a	2
PD9317a	4
PD9318a	3
PD9319a	1
PD9320a	2
PD9323a	3
PD9324a	4
PD9325a	1
PD9326a	5
PD9327a	4
PD9328a	5
PD9330a	3
PD9331a	2
PD9332a	2
PD9333a	2
PD9334a	3
PD9335a	3
PD9337a	5
PD9339a	4
PD9340a	3
PD9341a	3
PD9342a	3
PD9343a	1
PD9344a	2
PD9345a	2
PD9348a	3
PD9349a	1
PD9350a	4
PD9354a	2
PD9355a	4
PD9356a	2
PD9357a	2
PD9358a	3
PD9359a	2
PD9361a	3
PD9362a	3
PD9364a	3
PD9365a	3
PD9368a	1
PD9372a	2
PD9373a	4
PD9374a	1
PD9376a	3
PD9377a	5
PD9378a	3
PD9379a	2
PD9380a	3
PD9381a	4
PD9383a	6
PD9384a	8
PD9385a	4
PD9386a	2
